Query,Clicks,Impressions,CTR,Position
wash bag womens,0,2777,0%,2.15
tea mugs,0,2755,0%,6.27
sewing box organizer,0,2711,0%,6.1
leather bag for men,0,2686,0%,4.61
funky mugs,0,2654,0%,7.73
mens leather bags,0,2605,0%,2.46
designer make up bags,0,2520,0%,5.22
oven mitt,0,2465,0%,3.84
mens bags,0,2443,0%,4.95
beauty bag,0,2438,0%,6.32
leather makeup bag,0,2417,0%,3.6
big makeup bag,0,2407,0%,8.26
large sewing box,0,2384,0%,3.85
toiletry bag,0,2235,0%,10.75
laptop bag for men,0,2232,0%,2.74
oven gloves uk,0,2225,0%,7.91
coral cushions,0,2214,0%,9.83
makeup bag with compartments,0,2160,0%,10.58
large toiletry bag,0,2074,0%,6.63
mens messenger bags,0,2046,0%,3.09
men's shoulder bags,0,2022,0%,7.2
buy curtains,0,1995,0%,2.86
sewing kit box,0,1922,0%,7.27
leather make up bag,0,1920,0%,2.75
small mugs,0,1903,0%,5.09
mens messenger bags uk,0,1889,0%,6.88
teal cushions uk,0,1854,0%,9.87
dkny make up bag,0,1850,0%,7.15
made curtains,0,1792,0%,5.75
laptop messenger bags,0,1781,0%,6.95
mens briefcase bag,0,1774,0%,1.87
lounge curtains,0,1700,0%,9.81
cosmetic bags,0,1691,0%,3.19
men bags,0,1687,0%,6.73
large cosmetic bag,0,1648,0%,4.17
sewing boxes the range,0,1638,0%,7.77
mens work bags,0,1629,0%,3.26
ceiling light,0,1619,0%,4.4
make up organiser bag,0,1612,0%,8.57
business bags for men,0,1604,0%,5.14
mens small shoulder bags,0,1601,0%,9.48
john lewis wine cooler,0,1596,0%,1
john lewis curtain,0,1584,0%,4.03
black makeup bag,0,1559,0%,8.01
small make up bag,0,1549,0%,4.02
mens leather shoulder bags,0,1526,0%,3.48
travel vanity case,0,1516,0%,9.11
leather messenger bags for men,0,1514,0%,2.34
leather satchel for men,0,1511,0%,1.43
double oven glove,0,1505,0%,2.17
ladies wash bags,0,1485,0%,2.55
small make up bags,0,1456,0%,4.1
womens toiletry bag,0,1450,0%,5.21
handmade curtains,0,1436,0%,3.15
cosmetics bag,0,1433,0%,3.67
laptop messenger bags for men,0,1428,0%,5.41
blue oven gloves,0,1415,0%,6.46
green oven gloves,0,1372,0%,7.49
outdoor tables,0,1370,0%,6.74
made to order curtains,0,1353,0%,3.22
boys shirt,0,1324,0%,10.39
computer bags for men,0,1310,0%,6.89
small mirrors,0,1302,0%,7.87
makeup bag set,0,1295,0%,7.4
makeup bag large,0,1274,0%,7.77
fitted curtains,0,1272,0%,4.23
men shoulder bag,0,1268,0%,5.45
toilet bag,0,1264,0%,7.73
make up bag organiser,0,1261,0%,7.16
kids shirts,0,1255,0%,10.18
boden maternity,0,1241,0%,4.83
ladies toiletry bag,0,1224,0%,4.28
sewing basket uk,0,1195,0%,4.17
sewing storage box,0,1187,0%,6.39
men leather bag,0,1166,0%,4.04
cusions,0,1153,0%,3.76
menswear,0,1145,0%,5.96
sewing boxes for sale,0,1142,0%,7.88
makeup pouch,0,1135,0%,1.41
toilet bags,0,1133,0%,6.84
make up.bag,0,1124,0%,2.36
marks and spencer made to measure curtains,0,1123,0%,6.96
mens bags uk,0,1116,0%,3.43
john lewis sale womens,0,1102,0%,2.43
shirts for boys,0,1102,0%,8.9
mens laptop bags,0,1101,0%,3.18
