#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
295,valentines gifts for her,2,1,18/10/2021 14:28,20000,https://www.next.co.uk/shop/promotion-valentinesforher-0,12,5303,1,20/10/2021 01:43,,"Featured snippet, People also ask, Sitelinks, Image pack"
296,girl,10,10,,259000,https://www.next.co.uk/girls,65,5288,0.8,19/10/2021 21:03,,"Top stories, Thumbnail, Image pack, Sitelinks, Knowledge panel"
297,embroidered dress,1,1,,7700,https://www.next.co.uk/shop/gender-women-category-dresses/pattern-embroidery,0,5271,0.8,19/10/2021 18:24,,"Sitelinks, Image pack"
298,florence and fred,2,2,,22000,https://www.next.co.uk/shop/brand-ff-0,0,5270,0.3,20/10/2021 05:46,,"Sitelinks, Top stories, Video, Image pack"
299,boy jeans,1,1,,9800,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-category-jeans-0,4,5257,1.2,20/10/2021 03:36,,"Sitelinks, Image pack"
300,denim jacket,1,1,,54000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/style-denim,4,5244,0.8,18/10/2021 21:33,,"Shopping results, Thumbnail, Sitelinks, People also ask, Knowledge panel"
301,touch bedside lamps,1,1,,8700,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,4,5241,0.6,19/10/2021 05:06,,"Sitelinks, People also ask, Top stories, Video, Image pack"
302,womens checked shirt,1,1,,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-tops/category-shirts-pattern-check,2,5239,0.8,19/10/2021 01:19,,"Image pack, Sitelinks"
303,light shades,3,4,17/10/2021 13:43,42000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-ceilinglights-type-pendantsandshades,9,5212,0.6,19/10/2021 08:29,,"Sitelinks, Image pack"
304,leggings,3,1,17/10/2021 00:34,59000,https://www.next.co.uk/shop/gender-women-category-leggings-0,35,5140,0.9,19/10/2021 09:16,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack"
305,living room furniture,3,5,18/10/2021 11:41,32000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture-0,27,5135,1.1,20/10/2021 05:49,,"Sitelinks, Image pack"
306,bedside tables,4,4,,39000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture/category-bedsidetables,20,5134,1.5,18/10/2021 23:20,,"Sitelinks, Image pack"
307,womens gym wear,1,2,17/10/2021 23:17,13000,https://www.next.co.uk/shop/gender-women-productaffiliation-sportswear-0,44,5124,1.1,19/10/2021 12:01,,"Sitelinks, Image pack"
308,men jeans,1,1,,15000,https://www.next.co.uk/shop/gender-men-category-jeans-0,26,5115,1.6,18/10/2021 12:24,,"Sitelinks, Image pack"
309,wedding guest dress,2,1,17/10/2021 19:57,26000,https://www.next.co.uk/shop/gender-women-category-dresses/use-weddingguest,34,5113,1,19/10/2021 06:49,,"Sitelinks, Image pack"
310,bra size calculator,5,5,,32000,https://www.next.co.uk/bra-size-calculator,34,5111,0.6,19/10/2021 23:13,,"People also ask, Sitelinks, Image pack"
311,mint velvet,2,2,,242000,https://www.next.co.uk/shop/brand-mintvelvet-0,5,5111,0.2,20/10/2021 03:38,,"Sitelinks, People also ask, Shopping results, Thumbnail, Knowledge panel"
312,bathroom accessories,1,2,16/10/2021 23:52,33000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bathroom-0,6,5105,0.7,18/10/2021 12:15,,"Sitelinks, Image pack, Adwords bottom"
313,ladies wellies,1,1,,19000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-wellies,12,5103,0.7,19/10/2021 14:15,,"Sitelinks, People also ask, Image pack"
314,velvet dining chairs,1,3,17/10/2021 01:08,12000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningchairs,2,5101,0.8,19/10/2021 10:18,,"Sitelinks, Image pack"
315,black dining chairs,1,3,17/10/2021 15:33,14000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningchairs,9,5092,1.2,19/10/2021 03:40,,"Sitelinks, Image pack"
316,mens winter coats,1,1,,10000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0,24,5088,0.8,19/10/2021 02:19,,"Sitelinks, People also ask, Image pack"
317,black jeans,1,1,,34000,https://www.next.co.uk/shop/gender-women-category-jeans/colour-black,6,5087,1,19/10/2021 13:11,,"People also ask, Sitelinks, Image pack"
318,pleated skirt,1,1,,30000,https://www.next.co.uk/shop/gender-women-category-skirts/style-pleated,5,5087,0.9,19/10/2021 17:56,,"Sitelinks, People also ask, Image pack, Top stories, Video"
319,shacket,2,3,16/10/2021 19:38,48000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/style-shacket,9,5076,0.8,18/10/2021 17:17,,"Sitelinks, People also ask"
320,purses for women,1,4,16/10/2021 18:50,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-purses,12,5070,0.6,18/10/2021 21:44,,"Sitelinks, Image pack"
321,christmas jumpers men,1,1,,7000,https://www.next.co.uk/shop/style-christmassweater-0,1,5067,0.6,20/10/2021 07:45,,"Sitelinks, Image pack"
322,tv unit,2,2,,51000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-tvunits,21,5053,1,19/10/2021 20:16,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Adwords bottom"
323,leather skirt,1,1,,16000,https://www.next.co.uk/shop/gender-women-category-skirts/madewith-leather,0,5026,0.9,19/10/2021 09:52,,"Sitelinks, Image pack, Top stories, Video"
324,pink shirt,1,1,,14000,https://www.next.co.uk/shop/gender-men-category-shirts/colour-pink,0,5024,2,19/10/2021 13:08,,Image pack
325,floral midi dress,1,1,,16000,https://www.next.co.uk/shop/gender-women-category-dresses/length-midi,28,4988,0.7,18/10/2021 12:45,,"Sitelinks, Image pack"
326,girls tracksuit,2,2,,21000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-sportswear/category-tracksuits,2,4977,0.5,18/10/2021 14:54,,"Sitelinks, Image pack"
327,womens boots uk,1,1,,9600,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-boots,42,4960,1,18/10/2021 21:43,,"Sitelinks, Image pack"
328,clothes shops,2,2,,29000,https://www.next.co.uk/,96,4947,0.8,18/10/2021 14:16,,Sitelinks
329,shelves,3,6,16/10/2021 15:10,51000,https://www.next.co.uk/shop/department-homeware-category-shelves,6,4942,1,18/10/2021 00:54,,"Sitelinks, Image pack, Top stories, Thumbnail, Video"
330,sideboard cabinet,1,1,,14000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-sideboards,6,4941,1.3,19/10/2021 09:50,,"Sitelinks, Image pack"
331,suit,1,1,,29000,https://www.next.co.uk/shop/gender-men-productaffiliation-suits-0,50,4940,1.1,19/10/2021 09:30,,"Sitelinks, People also ask, Image pack"
332,mens t shirts,1,1,,27000,https://www.next.co.uk/shop/gender-men-productaffiliation-tops/category-tshirts,19,4922,1.2,20/10/2021 04:59,,"Sitelinks, Image pack"
333,evening dresses,1,3,16/10/2021 20:38,20000,https://www.next.co.uk/shop/gender-women-category-dresses/use-occasionwear,26,4921,0.8,18/10/2021 13:08,,"Sitelinks, Image pack"
334,mens boots uk,1,1,,8800,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-boots,23,4909,0.9,19/10/2021 09:32,,"Sitelinks, Image pack"
335,lanterns,3,2,17/10/2021 09:57,46000,https://www.next.co.uk/shop/department-homeware-productaffiliation-candlesandlanterns-0,4,4902,0.8,19/10/2021 22:26,,"Image pack, Sitelinks, People also ask, Top stories, Video"
336,mens clothing,1,1,,21000,https://www.next.co.uk/men,44,4887,0.9,20/10/2021 04:52,,"Sitelinks, Image pack"
337,spanx leggings,1,1,,5800,https://www.next.co.uk/shop/gender-women-category-leggings/brand-spanx-colour-black,1,4878,0.8,18/10/2021 15:13,,"Sitelinks, Top stories, Video"
338,winter coat women,1,1,,16000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,28,4870,0.7,18/10/2021 11:13,,"Sitelinks, Image pack"
339,girls nighties,1,1,,10000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-nightwear-0,5,4854,0.6,19/10/2021 12:49,,"Sitelinks, Image pack"
340,mens chelsea boots,1,2,18/10/2021 23:15,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-boots-style-chelsea,5,4846,1,20/10/2021 04:21,,"Sitelinks, Image pack"
341,girls jackets,1,7,16/10/2021 09:13,16000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets-0,13,4820,0.8,18/10/2021 12:04,,"Sitelinks, Image pack"
342,wellington boots women,1,1,,13000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-wellies,15,4816,0.8,19/10/2021 20:50,,"Sitelinks, People also ask, Image pack"
343,throws,1,2,17/10/2021 22:53,14000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-throws,19,4816,0.6,19/10/2021 03:32,,"Sitelinks, Image pack"
344,black tote bag,1,4,18/10/2021 11:07,23000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-bags-colour-black-style-tote,3,4797,0.8,20/10/2021 01:57,,"Sitelinks, Image pack"
345,ladies christmas jumpers,1,1,,14000,https://www.next.co.uk/shop/gender-women-category-jumpers/style-christmassweater,6,4789,0.6,18/10/2021 10:09,,"Sitelinks, Image pack"
346,nursing bra,4,4,,22000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-bras-style-maternitybras,11,4776,1.2,20/10/2021 05:35,,"Knowledge card, People also ask, Sitelinks, Top stories, Video, Image pack"
347,womens long puffer coat,2,3,17/10/2021 00:04,27000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,5,4774,0.7,19/10/2021 23:51,,"Sitelinks, Image pack"
348,round dining table,1,1,,20000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningtables,13,4763,1.1,18/10/2021 21:50,,"Sitelinks, Image pack"
349,mens black hoodie,1,1,,15000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies-0,15,4751,1.1,19/10/2021 09:31,,"Sitelinks, Image pack"
350,mens coats,1,1,,21000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0,31,4748,0.9,19/10/2021 22:30,,"Sitelinks, Image pack"
351,womens clothes,4,3,18/10/2021 14:07,40000,https://www.next.co.uk/women,67,4736,0.8,20/10/2021 07:53,,"Sitelinks, Adwords bottom"
352,womens denim shirts,1,1,,9300,https://www.next.co.uk/shop/gender-women-productaffiliation-tops/category-shirts-style-denim,1,4735,1.2,19/10/2021 09:47,,"Sitelinks, Image pack"
353,cardigans women,1,1,,11000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/category-cardigans,24,4709,1.2,18/10/2021 09:59,,"Sitelinks, Image pack"
354,initial necklace,4,4,,39000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/category-necklaces-style-initial,1,4709,0.7,18/10/2021 10:40,,"Sitelinks, Image pack"
355,dinner sets,3,3,,27000,https://www.next.co.uk/shop/department-homeware-productaffiliation-tableware/category-dinnerware,17,4702,0.9,19/10/2021 01:28,,"Knowledge card, Sitelinks, Image pack"
356,ghd straightener,3,2,17/10/2021 03:33,47000,https://www.next.co.uk/shop/brand-ghd-0,17,4692,1.6,19/10/2021 09:31,,"Sitelinks, People also ask, Top stories, Video, Image pack"
357,summer midi dress,1,1,,15000,https://www.next.co.uk/shop/gender-women-category-dresses/length-midi,28,4688,,20/10/2021 06:46,,"Sitelinks, Image pack"
358,pencil pleat curtains,2,1,17/10/2021 16:13,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-type-pencilpleat,3,4674,0.8,19/10/2021 11:32,,"Sitelinks, Top stories, Video"
359,barbour wellies,3,3,,36000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/brand-barbour-category-wellies,0,4665,0.7,18/10/2021 10:32,,"Sitelinks, People also ask, Image pack"
360,wide leg jeans,3,6,16/10/2021 08:48,27000,https://www.next.co.uk/shop/gender-women-category-jeans/fit-wide,0,4662,1.3,18/10/2021 07:58,,"Sitelinks, People also ask, Image pack, Top stories, Video"
361,dresses for wedding guest,1,1,,18000,https://www.next.co.uk/shop/gender-women-category-dresses/use-weddingguest,35,4659,0.8,20/10/2021 03:49,,"Sitelinks, Image pack"
362,womens loungewear,1,1,,10000,https://www.next.co.uk/shop/gender-women-productaffiliation-loungewear-0,21,4649,0.7,20/10/2021 04:47,,"Sitelinks, Image pack"
363,gold ceiling lights,1,2,17/10/2021 12:52,12000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-ceilinglights-colour-gold,0,4645,0.7,19/10/2021 16:04,,"Sitelinks, Image pack"
364,summer dresses uk,1,1,,19000,https://www.next.co.uk/shop/gender-women-category-dresses/style-summerdress,10,4643,0.9,18/10/2021 00:32,,"Sitelinks, Image pack"
365,dressing gowns,2,2,,20000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-robes,10,4635,0.9,19/10/2021 09:42,,"Knowledge card, Sitelinks, Image pack"
366,christmas pjs,1,1,,21000,https://www.next.co.uk/shop/promotion-christmasnightwear-0,4,4603,0.35,20/10/2021 00:59,,"Image pack, Shopping results, Thumbnail"
367,tracksuit,4,6,18/10/2021 15:51,76000,https://www.next.co.uk/shop/gender-men-productaffiliation-sportswear/category-tracksuits,18,4591,0.6,20/10/2021 07:57,,"Sitelinks, Image pack, Top stories, Thumbnail"
368,womens nightdress,1,1,,9700,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear-0,26,4587,1,19/10/2021 01:32,,"Sitelinks, Image pack"
369,dining table with bench,1,1,,13000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture-0,23,4587,1.1,19/10/2021 15:31,,"Sitelinks, Image pack, Top stories, Video"
370,ugg slippers,9,9,,249000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/brand-ugg-category-slippers,16,4573,0.6,20/10/2021 05:20,,"Sitelinks, People also ask, Image pack"
371,jumpsuits for weddings,1,1,,10000,https://www.next.co.uk/shop/gender-women-productaffiliation-jumpsuitsandplaysuits/category-jumpsuit-use-weddingguest,5,4569,0.7,19/10/2021 09:41,,"Sitelinks, People also ask, Image pack, Top stories, Video"
372,drinks cabinet,5,5,,46000,https://www.next.co.uk/shop/department-homeware-productaffiliation-downstairsfurniture/category-sideboards-type-drinkscabinet,0,4565,1,18/10/2021 21:50,,"Sitelinks, Image pack"
373,dresses for wedding,1,1,,18000,https://www.next.co.uk/shop/gender-women-category-dresses/use-weddingguest,34,4564,0.5,18/10/2021 01:25,,"Sitelinks, Top stories, Thumbnail, Image pack"
374,womens flip flops,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-sandals-style-flipflop,7,4561,1,18/10/2021 11:01,,"Sitelinks, Image pack"
375,white blouse,1,1,,16000,https://www.next.co.uk/shop/gender-women-productaffiliation-tops/category-blouses-colour-white,6,4560,0.9,19/10/2021 04:16,,"Sitelinks, Image pack"
376,shirts for men,1,1,,23000,https://www.next.co.uk/shop/gender-men-category-shirts-0,45,4555,2,19/10/2021 02:07,,Image pack
377,girls black coats,1,1,,9000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets/colour-black,4,4553,0.8,18/10/2021 10:43,,"Sitelinks, Image pack"
378,wide fit sandals,1,1,,15000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-sandals-fit-wide,22,4550,1.6,18/10/2021 12:32,,"Sitelinks, Image pack"
379,womens pj sets,1,1,,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,17,4547,0.6,19/10/2021 00:06,,"Sitelinks, Image pack"
380,pink coats,1,1,,9700,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/colour-pink,0,4543,0.9,20/10/2021 02:53,,"Sitelinks, Image pack"
381,black dress for women,1,2,18/10/2021 17:10,14000,https://www.next.co.uk/shop/gender-women-category-dresses/colour-black,6,4523,0.7,20/10/2021 05:28,,"Sitelinks, Image pack"
382,skechers go walk,3,3,,30000,https://www.next.co.uk/shop/brand-skechers-0,5,4510,0.5,19/10/2021 09:43,,"Sitelinks, People also ask, Top stories, Video, Image pack"
383,personalised jewellery,2,2,,16000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/personalised-canbepersonalised,8,4499,1,19/10/2021 03:00,,"Sitelinks, Image pack"
384,fairisle jumper,1,1,,22000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/pattern-fairisle,0,4480,1,19/10/2021 03:22,,"Image pack, Sitelinks"
385,mens,1,1,,11000,https://www.next.co.uk/men,59,4474,0.8,19/10/2021 19:35,,Sitelinks
386,coat,3,2,16/10/2021 03:15,78000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,50,4469,0.9,18/10/2021 22:33,,"Knowledge card, Sitelinks, Top stories, Thumbnail, Image pack"
387,mens trousers,1,1,,14000,https://www.next.co.uk/shop/gender-men-category-trousers-0,17,4463,1.4,20/10/2021 00:41,,"Sitelinks, Image pack"
388,ladies watches,4,4,,46000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/category-watches,18,4455,0.9,19/10/2021 04:10,,Sitelinks
389,grey cushions,1,1,,16000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions-colour-grey,7,4447,0.9,19/10/2021 12:41,,"Sitelinks, Image pack"
390,gifts,3,3,,42000,https://www.next.co.uk/gift-ideas,59,4433,1.1,19/10/2021 18:49,,"Shopping results, Thumbnail, Sitelinks, Top stories, Image pack"
391,puffer coats,1,2,17/10/2021 22:15,13000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,7,4427,1.3,19/10/2021 12:21,,Sitelinks
392,work dresses,1,1,,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-tailoring/category-dresses,7,4426,0.8,20/10/2021 04:54,,"Sitelinks, Image pack"
393,womens nightshirts,1,1,,8800,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-nightshirts,2,4421,0.7,19/10/2021 12:08,,Sitelinks
394,mens polo shirts,1,1,,19000,https://www.next.co.uk/shop/gender-men-productaffiliation-tops/category-poloshirts,11,4387,1.7,20/10/2021 08:29,,Sitelinks
395,long puffer jacket women,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,5,4383,0.4,19/10/2021 03:42,,"Sitelinks, Image pack"
396,necklace,5,2,16/10/2021 08:31,114000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/category-necklaces,30,4380,1,18/10/2021 12:03,,"Sitelinks, People also ask, Image pack"
397,mens hats,1,1,,21000,https://www.next.co.uk/shop/gender-men-productaffiliation-hatsglovesscarves/category-hats,15,4366,0.7,19/10/2021 09:51,,"Sitelinks, Image pack"
398,round extendable dining table,1,2,16/10/2021 21:38,16000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningtables,1,4362,1.1,18/10/2021 15:12,,"Sitelinks, People also ask, Image pack"
399,rugs uk,3,3,,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-rugsrunnersdoormats/category-rugs,65,4362,1.6,19/10/2021 01:50,,"Sitelinks, Image pack"
400,purses,2,1,16/10/2021 23:13,28000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-purses,13,4357,0.5,18/10/2021 14:09,,"Sitelinks, Image pack"
401,candles,2,2,,49000,https://www.next.co.uk/shop/department-homeware-productaffiliation-candlesandlanterns/category-candles,34,4353,0.6,19/10/2021 14:15,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack"
402,spanx,2,2,,24000,https://www.next.co.uk/shop/brand-spanx-0,7,4350,0.8,19/10/2021 17:38,,"Sitelinks, People also ask, Top stories, Video, Knowledge panel"
403,mens fleece,2,3,16/10/2021 10:06,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-fleeces,13,4340,1.1,18/10/2021 09:03,,"Sitelinks, Image pack"
404,cutlery set,3,2,17/10/2021 14:18,39000,https://www.next.co.uk/shop/department-homeware-productaffiliation-kitchen/category-cutlery,6,4335,0.6,19/10/2021 06:08,,"Sitelinks, People also ask, Image pack"
405,grey bar stools,1,4,17/10/2021 22:38,11000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-barstool,0,4335,1.4,19/10/2021 00:33,,"Sitelinks, Image pack"
406,sofas uk,2,2,,13000,https://www.next.co.uk/homeware/sofasbynext,75,4334,1.7,19/10/2021 18:28,,"Sitelinks, Image pack"
407,onesie,2,2,,48000,https://www.next.co.uk/shop/category-allinone/style-onesie,14,4317,0.6,19/10/2021 21:24,,"Sitelinks, Image pack, Top stories, Video"
408,girls black boots,1,1,,9300,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-footwear/category-boots-colour-black,17,4298,0.7,19/10/2021 12:43,,"Sitelinks, Image pack"
409,mirrors,4,3,16/10/2021 18:27,49000,https://www.next.co.uk/shop/department-homeware-category-mirrors-0,22,4291,1.5,18/10/2021 15:40,,"Sitelinks, Image pack, Top stories, Video"
410,timberland boots,6,6,,103000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/brand-timberland-category-boots,15,4284,0.5,20/10/2021 04:15,,"Sitelinks, People also ask"
411,swimwear,1,1,,21000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear-0,46,4271,1.4,18/10/2021 09:24,,"Sitelinks, Top stories, Thumbnail"
412,doormat,2,2,,36000,https://www.next.co.uk/shop/department-homeware-productaffiliation-rugsrunnersdoormats/category-doormats,5,4264,0.9,19/10/2021 13:40,,"Sitelinks, People also ask, Top stories, Video"
413,trainer slip ons,1,1,,19000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-trainers-style-slipon,0,4261,,19/10/2021 09:01,,"People also ask, Sitelinks"
414,faux leather trousers,1,1,,8300,https://www.next.co.uk/shop/gender-women-category-trousers/madewith-fauxleather,1,4257,0.9,19/10/2021 18:29,,"Sitelinks, Top stories, Video, Image pack"
415,wedge sandals,1,1,,21000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-sandals-style-wedge,14,4251,0.8,20/10/2021 06:37,,"Sitelinks, Image pack"
416,stockings,1,1,,29000,https://www.next.co.uk/shop/gender-women-productaffiliation-hosieryandsocks/style-stockings,31,4243,0.5,20/10/2021 08:46,,"Sitelinks, People also ask"
417,mens pajama set,1,2,17/10/2021 04:59,11000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear-0,11,4235,0.9,19/10/2021 17:37,,"Sitelinks, Image pack"
418,candle holders,2,2,,33000,https://www.next.co.uk/shop/department-homeware-productaffiliation-candlesandlanterns/category-candleholders,8,4219,0.4,19/10/2021 17:45,,"Knowledge card, Sitelinks, Image pack"
419,pyjamas,3,1,17/10/2021 01:15,60000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,18,4218,0.9,19/10/2021 22:46,,"Sitelinks, Top stories, Thumbnail, Image pack"
420,boys pyjamas,2,4,16/10/2021 23:54,19000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-nightwear-0,3,4215,1,18/10/2021 16:56,,Sitelinks
421,nex,1,1,,14000,https://www.next.co.uk/,77,4214,0.35,19/10/2021 00:27,,"Sitelinks, Top stories, Video"
422,womens long black coat,1,2,16/10/2021 23:31,7300,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-colour-black,1,4192,0.6,18/10/2021 12:30,,Sitelinks
423,bridesmaids dresses,1,1,,12000,https://www.next.co.uk/shop/gender-women-category-dresses/use-bridesmaid,52,4188,0.9,19/10/2021 05:32,,"Shopping results, Thumbnail, Sitelinks, People also ask, Image pack"
424,navy cushions,1,1,,12000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions-colour-blue,2,4180,0.6,19/10/2021 13:54,,"Sitelinks, Image pack"
425,palazzo pants,1,1,,13000,https://www.next.co.uk/shop/gender-women-category-trousers/fit-wide,5,4176,0.6,19/10/2021 12:27,,"Sitelinks, People also ask, Image pack, Top stories, Video"
426,black coat,1,1,,27000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/colour-black,1,4167,0.7,18/10/2021 20:09,,"Sitelinks, Image pack"
427,aviator jacket womens,1,1,,9400,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/style-aviator,0,4165,0.6,19/10/2021 09:50,,"Sitelinks, Image pack"
428,dungarees,2,2,,43000,https://www.next.co.uk/shop/gender-women-productaffiliation-jumpsuitsandplaysuits/category-dungarees,10,4161,1,20/10/2021 02:59,,"Sitelinks, Image pack"
429,suits for men,1,1,,16000,https://www.next.co.uk/shop/gender-men-productaffiliation-suits-0,50,4156,1.2,20/10/2021 05:13,,"Sitelinks, Image pack"
430,pinafore dress,3,1,16/10/2021 09:22,32000,https://www.next.co.uk/shop/gender-women-category-dresses/style-pinafore,1,4144,0.8,18/10/2021 21:57,,"Sitelinks, Image pack"
431,girls coats sale,1,1,,7900,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets-0,11,4143,0.9,18/10/2021 10:38,,Sitelinks
432,wallpapers,3,4,17/10/2021 12:16,61000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diy/category-wallpaper,65,4140,0.6,19/10/2021 18:06,,"Sitelinks, People also ask, Top stories, Thumbnail"
433,long dress,1,1,,22000,https://www.next.co.uk/shop/gender-women-category-dresses/style-maxidress,38,4136,1.1,19/10/2021 02:25,,"Sitelinks, Image pack"
434,blush pink bridesmaid dresses,1,1,,10000,https://www.next.co.uk/shop/gender-women-category-dresses/colour-pink-use-bridesmaid,4,4134,0.45,19/10/2021 09:06,,"Sitelinks, Image pack"
435,ladies white trainers,1,1,,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-trainers-colour-white,11,4130,0.8,20/10/2021 03:06,,"Sitelinks, Image pack"
436,shorts for men,1,1,,12000,https://www.next.co.uk/shop/gender-men-category-shorts-0,9,4124,2.5,20/10/2021 08:39,,"Sitelinks, Image pack"
437,girls swimwear,1,1,,15000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-swimwear-0,7,4116,0.9,18/10/2021 22:45,,"Sitelinks, Image pack"
438,ladies denim jackets,1,1,,9600,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/style-denim,4,4109,1.3,19/10/2021 19:56,,"Sitelinks, People also ask, Image pack"
439,tote bags for women,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-bags-style-tote,10,4108,1,18/10/2021 11:27,,"Sitelinks, Image pack"
440,midi dresses,1,1,,17000,https://www.next.co.uk/shop/gender-women-category-dresses/length-midi,22,4099,1,19/10/2021 16:59,,"Sitelinks, Image pack"
441,beanie hats,2,4,17/10/2021 06:52,31000,https://www.next.co.uk/shop/gender-men-productaffiliation-hatsglovesscarves/category-hats-style-beanie,4,4099,0.9,19/10/2021 02:41,,"Sitelinks, Image pack"
442,leather jacket women,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-jackets-style-biker,9,4091,1,18/10/2021 11:37,,"Sitelinks, Image pack"
