#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
63,winter coats women,1,1,,50000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,28,12737,0.6,19/10/2021 16:38,,"Sitelinks, Image pack"
64,midi dress,2,2,,87000,https://www.next.co.uk/shop/gender-women-category-dresses/length-midi,27,12652,0.8,18/10/2021 10:49,,"Sitelinks, Image pack"
65,summer dresses,1,1,,58000,https://www.next.co.uk/shop/gender-women-category-dresses/style-summerdress,10,12521,0.9,19/10/2021 01:59,,"Sitelinks, Image pack"
66,christmas bedding,2,3,17/10/2021 16:31,49000,https://www.next.co.uk/shop/department-homeware-promotion-christmasathome/category-bedsets,6,12485,0.35,19/10/2021 16:40,,"Sitelinks, Image pack"
67,denim dress,1,1,,53000,https://www.next.co.uk/shop/gender-women-category-dresses/style-denim,9,12380,0.8,18/10/2021 20:50,,"Sitelinks, Image pack"
68,mens loungewear,1,3,17/10/2021 07:09,28000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear-0,6,12331,0.9,19/10/2021 21:06,,"Sitelinks, Image pack"
69,satin pyjamas,1,1,,34000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas-style-satin,3,11886,0.8,20/10/2021 01:30,,"Sitelinks, Top stories, Video, Image pack"
70,side table,1,4,18/10/2021 19:21,49000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-sidetable,10,11801,1,20/10/2021 06:57,,"Sitelinks, Image pack"
71,bra,1,1,,89000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-bras,32,11794,1.3,20/10/2021 04:26,,"Sitelinks, Image pack, Top stories, Video"
72,family christmas pyjamas,1,3,16/10/2021 23:50,34000,https://www.next.co.uk/shop/productaffiliation-nightwear-promotion-familychristmas-0,2,11721,,19/10/2021 01:47,,"Sitelinks, Image pack"
73,mens wellies,1,1,,49000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-wellies,2,11671,0.9,19/10/2021 05:04,,"Sitelinks, Image pack"
74,jumpsuits for women,1,1,,45000,https://www.next.co.uk/shop/gender-women-productaffiliation-jumpsuitsandplaysuits-0,31,11663,0.8,19/10/2021 20:14,,"Sitelinks, Image pack"
75,teddy coat,2,1,16/10/2021 19:27,49000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-teddy,3,11388,0.45,18/10/2021 17:02,,"Sitelinks, People also ask, Image pack"
76,jeans for men,1,1,,57000,https://www.next.co.uk/shop/gender-men-category-jeans-0,29,11368,1.6,19/10/2021 09:31,,"Sitelinks, Image pack"
77,boys clothing,1,1,,33000,https://www.next.co.uk/boys,33,11347,1.3,19/10/2021 11:21,,"Sitelinks, Image pack"
78,table lamps,2,2,,61000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,25,11339,0.7,18/10/2021 10:59,,"Knowledge card, Sitelinks, Image pack"
79,ladies slippers,1,1,,42000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-slippers,20,11332,0.9,19/10/2021 19:27,,"Sitelinks, Image pack"
80,corner tv unit,2,2,,43000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-tvunits,12,11330,0.9,19/10/2021 09:56,,"Sitelinks, Image pack, Top stories, Video"
81,mens sandals,1,1,,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-sandals,6,11324,1.1,19/10/2021 09:34,,"Sitelinks, Image pack"
82,hoodies for men,1,1,,74000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies-0,24,11323,1.3,19/10/2021 19:09,,"Shopping results, Thumbnail, Sitelinks, Adwords bottom"
83,womens pyjamas,1,2,16/10/2021 23:40,37000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,17,11279,0.9,18/10/2021 14:33,,"Sitelinks, Image pack"
84,duvet covers,3,2,17/10/2021 02:52,69000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding-0,24,11176,0.7,19/10/2021 09:52,,Sitelinks
85,ladies loungewear,1,1,,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-loungewear-0,11,11110,0.6,20/10/2021 00:45,,"Sitelinks, Image pack"
86,puffer coat women,1,2,18/10/2021 11:12,29000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,7,11103,,20/10/2021 07:05,,"Sitelinks, Image pack"
87,christmas jumper,1,1,,39000,https://www.next.co.uk/shop/style-christmassweater-0,12,11073,1,19/10/2021 15:27,,"Sitelinks, Image pack"
88,rugs,4,4,,111000,https://www.next.co.uk/shop/department-homeware-productaffiliation-rugsrunnersdoormats/category-rugs,54,11065,1.3,19/10/2021 18:42,,"Sitelinks, Image pack"
89,bedding,1,2,17/10/2021 00:47,87000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding-0,32,11001,0.8,19/10/2021 03:21,,"Shopping results, Thumbnail, Sitelinks"
90,teddy bear coat,2,2,,37000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-teddy,5,10985,0.45,18/10/2021 16:52,,"Sitelinks, Image pack"
91,jackets for men,1,1,,43000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0,28,10717,1.1,20/10/2021 03:22,,"Sitelinks, Top stories, Thumbnail, Image pack"
92,sale,4,5,16/10/2021 01:34,137000,https://www.next.co.uk/nextsale,66,10561,0.25,18/10/2021 15:58,,"Sitelinks, Top stories, Thumbnail"
93,girls coats,2,1,17/10/2021 10:59,44000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets-0,13,10469,0.8,19/10/2021 10:24,,"Sitelinks, Image pack"
94,shoes,4,4,,194000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-shoes,79,10347,0.8,19/10/2021 09:48,,"Sitelinks, Image pack"
95,ladies pyjamas,1,1,,41000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,17,10295,1,20/10/2021 08:35,,"Sitelinks, Image pack"
96,mens jackets,1,1,,46000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0,28,10168,1,18/10/2021 09:26,,"Sitelinks, Image pack"
97,calvin klein boxers,3,3,,83000,https://www.next.co.uk/shop/gender-men-productaffiliation-underwear/brand-calvinklein,6,10120,0.7,19/10/2021 16:36,,Sitelinks
98,hunter wellies,3,2,18/10/2021 09:00,164000,https://www.next.co.uk/shop/brand-hunter-0,12,10073,0.5,20/10/2021 04:58,,"Sitelinks, People also ask"
99,mens sliders,2,1,16/10/2021 05:27,41000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-sandals-style-sliders,6,10058,0.9,18/10/2021 21:26,,"Sitelinks, Image pack"
100,bedding sets,1,1,,38000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding-0,36,9970,0.7,19/10/2021 12:16,,"Sitelinks, Image pack"
101,gin glasses,2,4,17/10/2021 06:33,58000,https://www.next.co.uk/shop/department-homeware-productaffiliation-kitchen/category-glasses-type-ginglasses,2,9849,0.6,19/10/2021 14:15,,"Sitelinks, People also ask, Image pack"
102,mens tracksuits,4,5,17/10/2021 14:23,78000,https://www.next.co.uk/shop/gender-men-productaffiliation-sportswear/category-tracksuits,23,9833,0.6,19/10/2021 09:35,,Sitelinks
103,wall clocks,3,2,18/10/2021 16:17,61000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories/category-clocks-type-wall,7,9805,0.6,20/10/2021 07:59,,"Sitelinks, People also ask, Image pack"
104,bridesmaid dresses uk,1,1,,16000,https://www.next.co.uk/shop/gender-women-category-dresses/use-bridesmaid,41,9729,0.5,19/10/2021 01:32,,"Sitelinks, Image pack"
105,tv cabinet,2,6,16/10/2021 21:30,45000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-tvunits,18,9687,1.3,18/10/2021 17:23,,"Sitelinks, Image pack"
106,wardrobes,6,7,18/10/2021 19:22,130000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture/category-wardrobes,23,9586,2,20/10/2021 08:39,,"Knowledge card, Sitelinks, Image pack"
107,mother of the bride outfits,3,4,17/10/2021 16:12,48000,https://www.next.co.uk/shop/gender-women-category-dresses/use-motherofthebride,17,9581,0.4,19/10/2021 16:50,,"Sitelinks, Image pack, Top stories, Video"
108,corner shelf,3,3,,70000,https://www.next.co.uk/shop/department-homeware-category-shelves-0,1,9548,0.45,18/10/2021 21:07,,"Sitelinks, Image pack"
109,christmas decorations,5,5,,191000,https://www.next.co.uk/shop/department-homeware-productaffiliation-christmasdecorations-0,22,9435,0.4,19/10/2021 20:52,,"Sitelinks, Image pack"
