Page,Clicks,Impressions,CTR,Position
https://www.tatielou.co.uk/products/franny-spice-wallpaper,0,20,0%,42
https://www.tatielou.co.uk/products/rubber-plant-art-print-pink,0,20,0%,42.35
https://www.tatielou.co.uk/products/dot-to-dot-shibori-pillow-case-single,0,20,0%,47.2
https://www.tatielou.co.uk/blogs/news,0,19,0%,12.53
https://www.tatielou.co.uk/products/shibori-chevron-forever-tote-bag,0,19,0%,14.26
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-forest,0,18,0%,11.67
https://www.tatielou.co.uk/products/kanoko-indigo,0,18,0%,16
https://www.tatielou.co.uk/products/ginkgo-black-velvet-fabric-sample,0,18,0%,33.22
https://www.tatielou.co.uk/account/login,0,17,0%,6
https://www.tatielou.co.uk/products/shibori-stripe-indigo-babygrow,0,17,0%,12.06
https://www.tatielou.co.uk/collections/wallpaper/products/blue-and-tangerine-nui-burst-wallpaper,0,17,0%,28.06
https://www.tatielou.co.uk/collections/wallpaper/products/pachamama-peach-wallpaper,0,17,0%,40.18
https://www.tatielou.co.uk/products/leopard-peach-velvet-fabric,0,17,0%,47
https://www.tatielou.co.uk/products/pompom-cushion,0,17,0%,50.71
https://www.tatielou.co.uk/collections/wallpaper-samples/products/indigo-itajime-row-wallpaper-sample,0,17,0%,55.53
https://www.tatielou.co.uk/collections/linen-place-mats,0,17,0%,56.76
https://www.tatielou.co.uk/collections/linen-table-cloth,0,17,0%,70.41
https://www.tatielou.co.uk/products/shibori-block-scarf,0,16,0%,9.06
https://www.tatielou.co.uk/products/shibori-grey-and-indigo-kids-short-sleeve-t-shirt,0,16,0%,24.81
https://www.tatielou.co.uk/collections/leopard/products/leopard-peach-wallpaper,0,16,0%,38.5
https://www.tatielou.co.uk/collections/pachamama/products/pachamama-cushion-peach,0,16,0%,79.5
https://www.tatielou.co.uk/account/register,0,15,0%,1.2
https://www.tatielou.co.uk/collections/pachamama-all,0,15,0%,2.53
https://www.tatielou.co.uk/products/shibori-grey-and-indigo-babygrow,0,15,0%,14.07
https://www.tatielou.co.uk/collections/bags/products/shibori-chevron-forever-tote-bag-ocean,0,15,0%,24.87
https://www.tatielou.co.uk/products/shibori-indigo-and-fuchsia-dyed-vest,0,15,0%,25.8
https://www.tatielou.co.uk/products/indigo-nui-floral-wallpaper,0,15,0%,54.73
https://www.tatielou.co.uk/collections/art-prints/products/ginko-blue-art-print,0,15,0%,66.2
https://www.tatielou.co.uk/products/pachamama-apple-wallpaper,0,15,0%,81.2
https://www.tatielou.co.uk/collections/ginkgo-cushions,0,14,0%,6.14
https://www.tatielou.co.uk/collections/arashi-collection,0,14,0%,18.14
https://www.tatielou.co.uk/products/soltar-ink-velvet-fabric-sample,0,14,0%,21.07
https://www.tatielou.co.uk/products/copy-of-palm-yellow-greetings-card,0,14,0%,33.64
https://www.tatielou.co.uk/collections/all-products/products/margaux-dusk-wallpaper,0,14,0%,44
https://www.tatielou.co.uk/collections/franny,0,14,0%,63
https://www.tatielou.co.uk/products/ginkgo-black-table-runner,0,14,0%,83.71
https://www.tatielou.co.uk/collections/leopard/products/leopard-berry-wallpaper-sample,0,13,0%,19.54
https://www.tatielou.co.uk/collections/wallpaper-samples/products/blue-and-tangerine-nui-burst-wallpaper-sample,0,13,0%,23.46
https://www.tatielou.co.uk/products/shibori-stripe-canvas-forever-tote-bag,0,13,0%,29.38
https://www.tatielou.co.uk/collections/fabric/products/indigo-nui-tear-drop-fabric-sample,0,13,0%,33.38
https://www.tatielou.co.uk/products/fern-art-print,0,13,0%,60.85
https://www.tatielou.co.uk/collections/wallpaper/products/indigo-nui-floral-wallpaper,0,13,0%,69
https://www.tatielou.co.uk/collections/all-products/products/wallpaper,0,13,0%,77.54
https://www.tatielou.co.uk/products/pachamama-cushion-forest,0,12,0%,6.33
https://www.tatielou.co.uk/products/pachamama-damson-velvet-fabric,0,12,0%,7.83
https://www.tatielou.co.uk/products/ginkgo-blue-fringed-parachute-lampshade,0,12,0%,9.42
https://www.tatielou.co.uk/products/washbag-5,0,12,0%,11.33
https://www.tatielou.co.uk/products/shibori-chevron-forever-tote-bag-orange,0,12,0%,26.33
https://www.tatielou.co.uk/collections/face-masks/products/copy-of-pink-floral-face-mask,0,12,0%,40.33
https://www.tatielou.co.uk/collections/all-products/products/pachamama-apple-wallpaper-sample,0,11,0%,9.27
https://www.tatielou.co.uk/products/duvet-covers,0,11,0%,11.45
https://www.tatielou.co.uk/collections/square-cushions/products/itajime-diamond-inidgp-beight,0,11,0%,16.27
https://www.tatielou.co.uk/products/shibori-indigo-and-grey-dyed-vest,0,11,0%,25.18
https://www.tatielou.co.uk/products/pachamama-peach-velvet-fabric,0,11,0%,40.18
https://www.tatielou.co.uk/collections/fabric-samples/products/blue-and-tangerine-nui-burst-fabric-sample,0,11,0%,52.73
https://www.tatielou.co.uk/collections/leopard/products/leopard-apple-wallpaper,0,11,0%,55.09
https://www.tatielou.co.uk/collections/all-products/products/pachamama-peach-wallpaper-sample,0,11,0%,66.91
https://www.tatielou.co.uk/collections/kumo-collection,0,10,0%,9.8
https://www.tatielou.co.uk/products/rust-and-pink-arashi-fabric,0,10,0%,13.9
https://www.tatielou.co.uk/collections/front-page/products/shibori-triangle-napkins,0,10,0%,21.4
https://www.tatielou.co.uk/collections/leopard,0,10,0%,24.6
https://www.tatielou.co.uk/collections/wallpaper-samples/products/agnes-green-and-pink-wallpaper-sample,0,10,0%,37
https://www.tatielou.co.uk/products/pachamama-blue-wallpaper,0,10,0%,47.5
https://www.tatielou.co.uk/products/rainbow-orchid-art-print,0,10,0%,53.6
https://www.tatielou.co.uk/products/velvet-washbag-2,0,10,0%,72.8
https://www.tatielou.co.uk/products/blue-and-tangerine-nui-burst-fabric-sample,0,9,0%,6.22
https://www.tatielou.co.uk/collections/margaux,0,9,0%,16.44
https://www.tatielou.co.uk/collections/fabric/products/blue-and-tangerine-nui-burst-fabric-sample,0,9,0%,22.78
https://www.tatielou.co.uk/products/pachamama-peach-velvet-fabric-sample,0,9,0%,31
https://www.tatielou.co.uk/collections/fabric-samples/products/indigo-nui-floral-fabric-sample,0,9,0%,50.11
https://www.tatielou.co.uk/collections/new-collection-wallpaper-samples,0,9,0%,55.22
https://www.tatielou.co.uk/products/pachamama-forest-velvet-fabric,0,8,0%,14
https://www.tatielou.co.uk/products/leopard-berry-wallpaper-sample,0,8,0%,20.25
https://www.tatielou.co.uk/products/nui-burst-tea-towel,0,8,0%,30.75
https://www.tatielou.co.uk/products/pachamama-apple-velvet-fabric-sample,0,8,0%,48
https://www.tatielou.co.uk/collections/wallpaper/products/indigo-itajime-diamond-wallpaper-sample,0,8,0%,63
https://www.tatielou.co.uk/products/arashi-tea-towel,0,7,0%,8.14
https://www.tatielou.co.uk/products/pachamama-apple-fringed-parachute-lampshade,0,7,0%,8.57
https://www.tatielou.co.uk/products/margaux-dusk-velvet-fabric-1,0,7,0%,19.29
https://www.tatielou.co.uk/collections/lampshades/products/copy-of-indigo-itajime-diamond-drum-lampshade,0,7,0%,26.71
https://www.tatielou.co.uk/products/agnes-black-and-gold-velvet-fabric-sample,0,7,0%,27.43
https://www.tatielou.co.uk/products/pachamama-peach-table-cloth,0,7,0%,42.29
https://www.tatielou.co.uk/products/franny-mint-wallpaper-sample,0,6,0%,4.83
